nohup: ignoring input
第 166 轮, 损失: 8.0195, val loss 4.694
第 167 轮, 损失: 5.1098, val loss 4.5937
第 168 轮, 损失: 9.9285, val loss 4.7156
第 169 轮, 损失: 5.8155, val loss 4.6269
第 170 轮, 损失: 11.3307, val loss 4.7118
第 171 轮, 损失: 4.9213, val loss 4.799
第 172 轮, 损失: 9.4973, val loss 4.6451
第 173 轮, 损失: 9.1477, val loss 4.6092
第 174 轮, 损失: 3.6218, val loss 4.6451
第 175 轮, 损失: 11.6249, val loss 4.606
第 176 轮, 损失: 5.5291, val loss 4.5859
第 177 轮, 损失: 3.0106, val loss 4.6664
第 178 轮, 损失: 3.1008, val loss 4.6609
第 179 轮, 损失: 9.8923, val loss 4.7175
第 180 轮, 损失: 3.5988, val loss 4.5257
第 181 轮, 损失: 11.2933, val loss 4.6263
第 182 轮, 损失: 6.6856, val loss 4.6389
第 183 轮, 损失: 8.3703, val loss 4.5937
第 184 轮, 损失: 4.3692, val loss 4.6205
第 185 轮, 损失: 10.2780, val loss 4.5315
第 186 轮, 损失: 5.9784, val loss 4.6147
第 187 轮, 损失: 14.7927, val loss 4.608
第 188 轮, 损失: 4.9331, val loss 4.5467
第 189 轮, 损失: 2.3396, val loss 4.6416
第 190 轮, 损失: 6.9480, val loss 4.5368
第 191 轮, 损失: 2.7152, val loss 4.5231
第 192 轮, 损失: 8.4897, val loss 4.5678
第 193 轮, 损失: 9.9632, val loss 4.586
第 194 轮, 损失: 8.7714, val loss 4.5541
第 195 轮, 损失: 7.0791, val loss 4.6465
第 196 轮, 损失: 6.6340, val loss 4.6538
第 197 轮, 损失: 7.1545, val loss 4.4768
第 198 轮, 损失: 7.3637, val loss 4.5307
第 199 轮, 损失: 5.1500, val loss 4.4936
第 200 轮, 损失: 2.1197, val loss 4.5829
第 201 轮, 损失: 9.7321, val loss 4.4743
第 202 轮, 损失: 10.0473, val loss 4.7067
第 203 轮, 损失: 5.6699, val loss 4.5392
第 204 轮, 损失: 8.1895, val loss 4.5047
第 205 轮, 损失: 4.9733, val loss 4.4806
